time,side_mid_sensor_1,side_mid_sensor_2,side_upper_sensor_1,side_upper_sensor_2,top_sensor_1,top_sensor_2,top_edge_sensor_1,top_edge_sensor_2
6.18412E-06,7.23608E-14,-9.04868E-24,4.85733E-14,-1.06627E-17,1.02761E-14,7.95931E-17,9.42199E-14,8.43408E-18
6.22016E-06,3.66582E-14,3.88799E-23,2.18086E-14,-4.47475E-17,6.58202E-14,6.23027E-17,7.91363E-14,4.40765E-17
6.25619E-06,7.5173E-15,4.10209E-23,3.61287E-15,-4.41065E-17,9.91194E-14,-3.00631E-20,5.67422E-14,4.86489E-17
6.29223E-06,-1.23755E-14,-2.75416E-23,-1.24003E-14,-3.87305E-18,1.03588E-13,-8.05268E-17,3.44871E-14,2.26826E-17
6.32826E-06,-2.25666E-14,-2.56383E-23,-3.03486E-14,3.85585E-17,8.43332E-14,-1.36625E-16,1.96096E-14,-1.41295E-17
6.3643E-06,-2.47437E-14,1.71425E-22,-4.91542E-14,3.82854E-17,5.60427E-14,-1.40078E-16,1.61129E-14,-3.25309E-17
6.40033E-06,-2.19057E-14,3.55824E-22,-6.26771E-14,-1.08433E-17,3.60104E-14,-9.47578E-17,2.31644E-14,-1.05467E-17
6.43636E-06,-1.70187E-14,1.53013E-22,-6.26378E-14,-6.8482E-17,3.54609E-14,-2.80491E-17,3.53542E-14,4.15031E-17
6.47239E-06,-1.16796E-14,-2.65459E-22,-4.26392E-14,-8.13101E-17,5.34792E-14,3.38445E-17,4.51247E-14,7.53462E-17
6.50843E-06,-5.3907E-15,-1.5762E-23,-1.59306E-15,-2.37213E-17,7.64015E-14,8.38817E-17,4.66435E-14,4.04986E-17
6.54446E-06,4.18288E-15,1.38817E-21,5.44791E-14,8.0935E-17,8.32226E-14,1.30445E-16,3.89035E-14,-6.43061E-17
6.58049E-06,1.99992E-14,3.22232E-21,1.13056E-13,1.67471E-16,5.52947E-14,1.77351E-16,2.62124E-14,-1.75667E-16
6.61652E-06,4.39024E-14,5.20818E-21,1.58561E-13,1.66481E-16,-1.35625E-14,2.08367E-16,1.62477E-14,-2.05953E-16
6.65255E-06,7.50438E-14,1.00802E-20,1.77738E-13,5.77746E-17,-1.11253E-13,1.91558E-16,1.68043E-14,-1.09022E-16
6.68858E-06,1.09158E-13,2.2611E-20,1.64686E-13,-1.01746E-16,-2.09016E-13,9.9831E-17,3.1979E-14,7.84343E-17
6.72461E-06,1.39136E-13,4.57236E-20,1.23486E-13,-2.11167E-16,-2.70485E-13,-6.67595E-17,5.89655E-14,2.51642E-16
6.76064E-06,1.56886E-13,8.19224E-20,6.74683E-14,-2.01828E-16,-2.65317E-13,-2.68889E-16,8.76489E-14,3.04368E-16
6.79667E-06,1.55925E-13,1.43537E-19,1.50854E-14,-9.21492E-17,-1.82485E-13,-4.3376E-16,1.0428E-13,2.05053E-16
6.8327E-06,1.33808E-13,2.60526E-19,-1.68729E-14,2.84908E-17,-3.75832E-14,-4.82503E-16,9.77711E-14,2.3104E-17
6.86872E-06,9.3406E-14,4.75812E-19,-2.03743E-14,7.39158E-17,1.29687E-13,-3.70382E-16,6.54972E-14,-1.22842E-16
6.90475E-06,4.2417E-14,8.43363E-19,-4.61514E-17,3.24454E-17,2.67751E-13,-1.15505E-16,1.59636E-14,-1.57424E-16
6.94078E-06,-8.8498E-15,1.45446E-18,2.85204E-14,-2.19347E-17,3.31198E-13,2.06125E-16,-3.31243E-14,-1.0533E-16
6.97681E-06,-5.06723E-14,2.48302E-18,4.55656E-14,9.49478E-18,2.98439E-13,4.95791E-16,-6.14164E-14,-6.45599E-17
7.01284E-06,-7.68856E-14,4.21038E-18,3.61419E-14,1.59641E-16,1.81839E-13,6.7025E-16,-5.4795E-14,-1.17503E-16
7.04886E-06,-8.64299E-14,7.03213E-18,-2.40238E-15,3.46795E-16,2.49268E-14,6.80551E-16,-1.24447E-14,-2.49545E-16
7.08489E-06,-8.2804E-14,1.15173E-17,-5.75917E-14,4.16169E-16,-1.13321E-13,5.14291E-16,5.13575E-14,-3.39967E-16
7.12092E-06,-7.16128E-14,1.85575E-17,-1.05277E-13,2.52669E-16,-1.81206E-13,1.96842E-16,1.11779E-13,-2.40768E-16
7.15694E-06,-5.72693E-14,2.9532E-17,-1.18649E-13,-1.16813E-16,-1.55155E-13,-2.04582E-16,1.42872E-13,1.04171E-16
7.19297E-06,-4.03787E-14,4.64162E-17,-7.96598E-14,-5.14236E-16,-5.01589E-14,-5.85071E-16,1.28406E-13,5.85924E-16
7.22899E-06,-1.71355E-14,7.19333E-17,1.16642E-14,-7.09946E-16,8.54072E-14,-8.23021E-16,6.96317E-14,9.69196E-16
7.26502E-06,1.87614E-14,1.09914E-16,1.34212E-13,-5.64399E-16,1.89175E-13,-8.13083E-16,-1.32256E-14,1.03067E-15
7.30104E-06,7.22992E-14,1.65819E-16,2.51136E-13,-1.13061E-16,2.10281E-13,-4.99714E-16,-8.64939E-14,7.05908E-16
7.33707E-06,1.43046E-13,2.47184E-16,3.2243E-13,4.64254E-16,1.30453E-13,9.63067E-17,-1.14277E-13,1.42562E-16
7.37309E-06,2.22763E-13,3.64001E-16,3.20628E-13,9.65803E-16,-2.71912E-14,8.64869E-16,-7.20563E-14,-3.74431E-16
7.40911E-06,2.96315E-13,5.29346E-16,2.43728E-13,1.29285E-15,-2.04581E-13,1.61903E-15,4.24733E-14,-5.70155E-16
7.44514E-06,3.46163E-13,7.60428E-16,1.19493E-13,1.48857E-15,-3.2878E-13,2.14402E-15,2.0627E-13,-3.0275E-16
7.48116E-06,3.59143E-13,1.07966E-15,-2.02093E-15,1.67125E-15,-3.40088E-13,2.2751E-15,3.77378E-13,4.06069E-16
7.51718E-06,3.32981E-13,1.5154E-15,-6.56941E-14,1.92754E-15,-2.17938E-13,1.97331E-15,5.08905E-13,1.43316E-15
7.55321E-06,2.79824E-13,2.10262E-15,-3.15181E-14,2.26317E-15,7.5969E-15,1.36213E-15,5.65782E-13,2.65145E-15
7.58923E-06,2.24876E-13,2.88426E-15,1.10453E-13,2.65869E-15,2.65139E-13,7.0684E-16,5.38525E-13,3.99417E-15
7.62525E-06,1.99901E-13,3.91265E-15,3.35816E-13,3.18538E-15,4.67828E-13,3.4273E-16,4.48314E-13,5.4547E-15
7.66127E-06,2.33381E-13,5.2503E-15,5.93522E-13,4.07762E-15,5.4434E-13,5.7355E-16,3.40291E-13,7.04549E-15
7.6973E-06,3.4079E-13,6.96987E-15,8.23336E-13,5.68266E-15,4.64005E-13,1.56736E-15,2.6785E-13,8.77012E-15
7.73332E-06,5.18861E-13,9.15417E-15,9.77396E-13,8.3004E-15,2.48053E-13,3.28134E-15,2.75636E-13,1.06474E-14
7.76934E-06,7.46325E-13,1.18965E-14,1.03759E-12,1.20154E-14,-3.78655E-14,5.44513E-15,3.87657E-13,1.27797E-14
7.80536E-06,9.91119E-13,1.52999E-14,1.02161E-12,1.66419E-14,-3.09768E-13,7.61626E-15,6.01859E-13,1.54143E-14
7.84138E-06,1.2215E-12,1.94749E-14,9.7605E-13,2.18321E-14,-5.00165E-13,9.29565E-15,8.90623E-13,1.89421E-14
7.8774E-06,1.41699E-12,2.45353E-14,9.60468E-13,2.72907E-14,-5.82846E-13,1.00711E-14,1.20808E-12,2.38114E-14
7.91342E-06,1.57505E-12,3.05949E-14,1.02778E-12,3.29667E-14,-5.74355E-13,9.74948E-15,1.50418E-12,3.0388E-14
7.94944E-06,1.71054E-12,3.77636E-14,1.20573E-12,3.9112E-14,-5.17055E-13,8.43863E-15,1.74076E-12,3.88266E-14
