time,top_edge_sensor_1,top_edge_sensor_2,top_sensor_1,top_sensor_2,side_mid_sensor_1,side_mid_sensor_2,side_upper_sensor_1,side_upper_sensor_2
5.79999E-06,1.587E-13,-5.07359E-18,-4.22976E-15,-1.70399E-17,6.03822E-14,-4.07489E-24,-2.10367E-14,-5.23343E-19
5.83608E-06,1.67678E-13,-7.84527E-18,2.27667E-15,-2.62958E-17,9.32254E-14,-4.4268E-24,2.63777E-14,1.32601E-17
5.87216E-06,1.57512E-13,-3.33555E-18,5.94611E-15,-2.11338E-17,1.25616E-13,3.69414E-24,9.18067E-14,1.49571E-17
5.90824E-06,1.3416E-13,2.03275E-18,-3.56767E-15,-9.09202E-18,1.5469E-13,1.02129E-23,1.6122E-13,-1.50701E-18
5.94433E-06,1.06566E-13,9.12247E-18,-3.01332E-14,1.80355E-18,1.77561E-13,3.85923E-24,2.1857E-13,-2.10538E-17
5.98041E-06,8.38987E-14,1.88839E-17,-6.86742E-14,4.90136E-18,1.91563E-13,-6.92937E-24,2.50581E-13,-2.45317E-17
6.01649E-06,7.2516E-14,1.80174E-17,-1.06554E-13,-1.19374E-18,1.94566E-13,-3.34495E-24,2.50901E-13,-8.91462E-18
6.05257E-06,7.37475E-14,-6.49143E-18,-1.28399E-13,-6.95476E-18,1.85403E-13,1.07118E-23,2.21999E-13,1.48135E-17
6.08865E-06,8.35436E-14,-3.99453E-17,-1.22649E-13,2.91882E-18,1.64374E-13,5.83956E-24,1.73909E-13,3.40044E-17
6.12473E-06,9.42819E-14,-4.85734E-17,-8.70216E-14,3.35078E-17,1.33593E-13,-2.56199E-23,1.20187E-13,3.66574E-17
6.1608E-06,9.80899E-14,-1.93481E-17,-3.01239E-14,6.89162E-17,9.68922E-14,-3.86378E-23,7.27263E-14,1.36863E-17
6.19688E-06,9.03795E-14,2.44935E-17,3.16655E-14,7.94141E-17,5.91711E-14,6.73489E-24,3.77208E-14,-2.60208E-17
6.23296E-06,7.19737E-14,4.96825E-17,8.04001E-14,4.37487E-17,2.53635E-14,5.99961E-23,1.45062E-14,-5.02636E-17
6.26903E-06,4.86226E-14,4.15781E-17,1.03344E-13,-3.02567E-17,-6.70042E-16,2.85198E-23,-2.36027E-15,-3.19575E-17
6.30511E-06,2.8164E-14,8.57355E-18,9.80902E-14,-1.0634E-16,-1.70131E-14,-4.55574E-23,-1.89006E-14,1.55657E-17
6.34118E-06,1.70074E-14,-2.50894E-17,7.37964E-14,-1.44246E-16,-2.40466E-14,2.86599E-23,-3.75453E-14,4.52762E-17
6.37725E-06,1.75461E-14,-2.96474E-17,4.70776E-14,-1.27474E-16,-2.40789E-14,2.72618E-22,-5.52035E-14,2.34914E-17
6.41332E-06,2.7167E-14,7.88529E-18,3.38599E-14,-7.08869E-17,-2.02714E-14,3.29872E-22,-6.45437E-14,-3.55175E-17
6.44939E-06,3.92687E-14,6.07806E-17,4.12213E-14,-4.11705E-18,-1.52165E-14,-5.28099E-23,-5.75533E-14,-8.13639E-17
6.48547E-06,4.64302E-14,7.27594E-17,6.32017E-14,5.29014E-17,-9.76271E-15,-3.31232E-22,-2.94985E-14,-6.77041E-17
6.52153E-06,4.43584E-14,6.68336E-18,8.2497E-14,1.00679E-16,-2.63132E-15,4.20714E-22,1.81616E-14,1.35284E-17
6.5576E-06,3.41405E-14,-1.1185E-16,7.77449E-14,1.48459E-16,8.94005E-15,2.12508E-21,7.67656E-14,1.20759E-16
6.59367E-06,2.1657E-14,-2.01998E-16,3.39328E-14,1.93069E-16,2.77147E-14,3.7965E-21,1.32111E-13,1.80829E-16
6.62974E-06,1.50203E-14,-1.84398E-16,-4.85011E-14,2.10337E-16,5.46827E-14,6.20491E-21,1.68848E-13,1.36448E-16
6.66581E-06,2.10751E-14,-4.30033E-17,-1.50413E-13,1.67265E-16,8.77206E-14,1.34516E-20,1.76039E-13,-3.10791E-18
6.70187E-06,4.15884E-14,1.53724E-16,-2.38656E-13,4.48294E-17,1.21325E-13,2.9887E-20,1.51444E-13,-1.55553E-16
6.73794E-06,7.07623E-14,2.90477E-16,-2.77465E-13,-1.42634E-16,1.47711E-13,5.70973E-20,1.02892E-13,-2.22438E-16
6.774E-06,9.63794E-14,2.82194E-16,-2.4258E-13,-3.41051E-16,1.59049E-13,9.97275E-20,4.62668E-14,-1.66394E-16
6.81007E-06,1.04911E-13,1.37753E-16,-1.32759E-13,-4.70515E-16,1.50127E-13,1.77068E-19,2.5842E-16,-4.04044E-17
6.84613E-06,8.80468E-14,-4.38889E-17,2.63729E-14,-4.60047E-16,1.20455E-13,3.25309E-19,-2.0948E-14,5.72214E-17
6.88219E-06,4.74408E-14,-1.49793E-16,1.88649E-13,-2.8718E-16,7.49136E-14,5.89638E-19,-1.40294E-14,6.4025E-17
6.91826E-06,-4.3641E-15,-1.41382E-16,3.02432E-13,4.87174E-18,2.25536E-14,1.03207E-18,1.1599E-14,5.28706E-18
6.95432E-06,-4.76779E-14,-8.05544E-17,3.29557E-13,3.26321E-16,-2.61299E-14,1.77086E-18,3.7759E-14,-2.498E-17
6.99038E-06,-6.34372E-14,-7.15907E-17,2.6105E-13,5.8071E-16,-6.24743E-14,3.02143E-18,4.55767E-14,5.61552E-17
7.02644E-06,-4.20046E-14,-1.65455E-16,1.2254E-13,6.96551E-16,-8.22011E-14,5.10599E-18,2.42064E-14,2.3773E-16
7.0625E-06,1.13404E-14,-3.01128E-16,-3.40248E-14,6.38253E-16,-8.61915E-14,8.47042E-18,-2.32002E-14,3.98545E-16
7.09856E-06,7.71625E-14,-3.32981E-16,-1.49722E-13,4.07198E-16,-7.91201E-14,1.37851E-17,-7.88875E-14,3.83617E-16
7.13462E-06,1.28848E-13,-1.3472E-16,-1.81729E-13,4.52417E-17,-6.65014E-14,2.2116E-17,-1.16258E-13,1.25241E-16
7.17067E-06,1.43109E-13,2.88151E-16,-1.21063E-13,-3.63296E-16,-5.14634E-14,3.50632E-17,-1.10449E-13,-2.83851E-16
7.20673E-06,1.09936E-13,7.6446E-16,2.77808E-15,-7.03043E-16,-3.27946E-14,5.48578E-17,-4.96584E-14,-6.28029E-16
7.24279E-06,3.81595E-14,1.04261E-15,1.33093E-13,-8.5473E-16,-5.33575E-15,8.45895E-17,5.76382E-14,-6.97048E-16
7.27885E-06,-4.56333E-14,9.46911E-16,2.08937E-13,-7.28957E-16,3.72127E-14,1.28664E-16,1.83007E-13,-4.16497E-16
7.3149E-06,-1.05129E-13,4.97798E-16,1.90249E-13,-2.97157E-16,9.81243E-14,1.93318E-16,2.86535E-13,1.10568E-16
7.35096E-06,-1.07189E-13,-8.69826E-17,7.49524E-14,3.85693E-16,1.73977E-13,2.86995E-16,3.31186E-13,6.78383E-16
7.38701E-06,-3.51168E-14,-5.06821E-16,-9.83911E-14,1.1756E-15,2.53436E-13,4.2078E-16,2.98245E-13,1.11434E-15
7.42306E-06,1.03147E-13,-5.27838E-16,-2.63043E-13,1.86574E-15,3.19654E-13,6.09239E-16,1.97618E-13,1.37772E-15
7.45912E-06,2.75687E-13,-7.46751E-17,-3.48016E-13,2.24996E-15,3.55937E-13,8.71551E-16,6.76008E-14,1.55379E-15
7.49517E-06,4.36534E-13,7.79069E-16,-3.06471E-13,2.20498E-15,3.52778E-13,1.23243E-15,-3.71761E-14,1.75945E-15
7.53122E-06,5.41512E-13,1.89596E-15,-1.375E-13,1.75464E-15,3.13501E-13,1.72274E-15,-6.52776E-14,2.04881E-15
7.56728E-06,5.64451E-13,3.16719E-15,1.10172E-13,1.08479E-15,2.55979E-13,2.38044E-15,1.25413E-14,2.4054E-15
7.60333E-06,5.08008E-13,4.55304E-15,3.55373E-13,5.00773E-16,2.0912E-13,3.25212E-15,1.92315E-13,2.83246E-15
7.63938E-06,4.04301E-13,6.06108E-15,5.14132E-13,3.40525E-16,2.04677E-13,4.39422E-15,4.37513E-13,3.46464E-15
7.67543E-06,3.04046E-13,7.7027E-15,5.29274E-13,8.67123E-16,2.66941E-13,5.87343E-15,6.91021E-13,4.59617E-15
7.71148E-06,2.59073E-13,9.48214E-15,3.90408E-13,2.17089E-15,4.04191E-13,7.76648E-15,8.94971E-13,6.57865E-15
7.74753E-06,3.06702E-13,1.14416E-14,1.3819E-13,4.11442E-15,6.05401E-13,1.01605E-14,1.01173E-12,9.64189E-15
7.78358E-06,4.60831E-13,1.37348E-14,-1.50721E-13,6.34557E-15,8.43773E-13,1.31531E-14,1.03757E-12,1.37589E-14
7.81962E-06,7.09157E-13,1.66708E-14,-3.95176E-13,8.38081E-15,1.08595E-12,1.6851E-14,1.00328E-12,1.86565E-14
7.85567E-06,1.01583E-12,2.06792E-14,-5.42938E-13,9.73703E-15,1.30362E-12,2.13667E-14,9.62784E-13,2.39793E-14
7.89172E-06,1.33119E-12,2.61961E-14,-5.86418E-13,1.00757E-14,1.48317E-12,2.68146E-14,9.75163E-13,2.95121E-14
7.92777E-06,1.60773E-12,3.35192E-14,-5.54684E-13,9.3197E-15,1.62965E-12,3.3308E-14,1.08518E-12,3.53284E-14
7.96381E-06,1.81538E-12,4.26978E-14,-4.93347E-13,7.7055E-15,1.76321E-12,4.09536E-14,1.30696E-12,4.17833E-14
7.99986E-06,1.94812E-12,5.35025E-14,-4.43362E-13,5.74375E-15,1.90943E-12,4.98445E-14,1.61766E-12,4.93717E-14
8.03591E-06,2.02246E-12,6.54852E-14,-4.21004E-13,4.08236E-15,2.08771E-12,6.00506E-14,1.96752E-12,5.85505E-14
8.07195E-06,2.07321E-12,7.81128E-14,-4.06072E-13,3.29957E-15,2.30283E-12,7.16112E-14,2.30327E-12,6.96249E-14
8.108E-06,2.14609E-12,9.09433E-14,-3.51133E-13,3.68717E-15,2.54345E-12,8.45269E-14,2.59122E-12,8.27243E-14
8.14404E-06,2.28302E-12,1.0379E-13,-2.10231E-13,5.10125E-15,2.78839E-12,9.87507E-14,2.82761E-12,9.78173E-14
8.18008E-06,2.50735E-12,1.16812E-13,3.23077E-14,6.94495E-15,3.01826E-12,1.14177E-13,3.03599E-12,1.14694E-13
8.21613E-06,2.82332E-12,1.30477E-13,3.48874E-13,8.30479E-15,3.22758E-12,1.30635E-13,3.2566E-12,1.32907E-13
8.25217E-06,3.22786E-12,1.4538E-13,6.73987E-13,8.20763E-15,3.43157E-12,1.47883E-13,3.52978E-12,1.51731E-13
8.28821E-06,3.71756E-12,1.6195E-13,9.26578E-13,5.92376E-15,3.664E-12,1.65608E-13,3.87703E-12,1.70238E-13
8.32426E-06,4.2864E-12,1.80158E-13,1.04426E-12,1.22459E-15,3.96617E-12,1.83422E-13,4.2927E-12,1.87513E-13
8.3603E-06,4.92575E-12,1.99325E-13,1.01429E-12,-5.48946E-15,4.37123E-12,2.00872E-13,4.75524E-12,2.02936E-13
8.39634E-06,5.62986E-12,2.18162E-13,8.83486E-13,-1.32415E-14,4.89051E-12,2.17443E-13,5.24817E-12,2.16376E-13
8.43238E-06,6.39604E-12,2.35037E-13,7.42657E-13,-2.07063E-14,5.50784E-12,2.32576E-13,5.77326E-12,2.28158E-13
8.46842E-06,7.21859E-12,2.48391E-13,6.94224E-13,-2.65548E-14,6.18515E-12,2.4569E-13,6.35073E-12,2.38786E-13
8.50446E-06,8.08827E-12,2.5712E-13,8.13443E-13,-2.98225E-14,6.87799E-12,2.56201E-13,7.01311E-12,2.48538E-13
8.5405E-06,8.99865E-12,2.60797E-13,1.11454E-12,-3.02018E-14,7.55513E-12,2.63553E-13,7.79453E-12,2.5714E-13
8.57654E-06,9.94717E-12,2.59637E-13,1.53871E-12,-2.81551E-14,8.21413E-12,2.67247E-13,8.71378E-12,2.63689E-13
8.61258E-06,1.09288E-11,2.54293E-13,1.9765E-12,-2.47821E-14,8.88595E-12,2.6688E-13,9.75924E-12,2.66845E-13
8.64862E-06,1.19344E-11,2.45583E-13,2.31434E-12,-2.14513E-14,9.62592E-12,2.62172E-13,1.08888E-11,2.65213E-13
8.68465E-06,1.2957E-11,2.34278E-13,2.47632E-12,-1.93127E-14,1.04942E-11,2.52995E-13,1.20452E-11,2.5772E-13
8.72069E-06,1.39944E-11,2.20976E-13,2.44367E-12,-1.88646E-14,1.1533E-11,2.39396E-13,1.31754E-11,2.43886E-13
